Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
BXP,2005-07-15,2020-07-10,743828.525,236758.714
BXS,2005-07-15,2020-07-10,104500.031,25757.009
BY,2017-06-30,2020-07-10,14173.736,19407.264
BYD,2005-07-15,2020-07-10,250887.397,336166.071
BYFC,2005-07-18,2020-07-10,3940.368,383.366
BYND,2019-05-02,2020-07-10,7379141.277,6720471.165
BZH,2005-07-15,2020-07-10,184832.177,802815.966
C,2005-07-15,2020-07-10,11879922.86,4976154.236
CABO,2015-06-11,2020-07-10,196930.764,123217.384
CAC,2008-01-02,2020-07-10,6704.12,2559.099
CACC,2005-07-15,2020-07-10,143228.999,12116.636
CACI,2005-07-15,2020-07-10,182601.355,198617.927
CADE,2017-04-13,2020-07-10,184873.224,49008.519
CAG,2005-07-15,2020-07-10,867892.297,319913.796
CAH,2005-07-15,2020-07-10,1075084.558,772330.904
CAI,2007-05-16,2020-07-10,20540.403,8934.718
CAKE,2005-07-15,2020-07-10,297618.757,203083.946
CAL,2005-07-15,2020-07-10,70951.217,44300.925
CALA,2014-10-02,2020-07-10,34524.114,42349.974
CALM,2005-07-15,2020-07-10,104713.213,5543.292
CALX,2010-03-24,2020-07-10,29655.003,32580.129
CAMP,2005-07-15,2020-07-10,40869.416,23093.891
CAPR,2019-06-05,2020-07-10,103228.25,18703.558
CAR,2010-12-31,2020-07-10,612732.531,262160.42
CARA,2014-01-31,2020-07-10,105022.736,21200.55
CARE,2008-01-08,2020-07-10,2821.304,8.638
CARG,2017-10-12,2020-07-10,271265.355,170269.327
CARS,2017-05-18,2020-07-10,243551.608,436689.992
CASA,2017-12-15,2020-07-10,65315.764,152668.122
CASH,2005-07-15,2020-07-10,17989.244,463.902
CASI,2005-07-15,2020-07-10,4492.486,7178.829
CASS,2005-07-15,2020-07-10,7987.829,543.624
CASY,2005-07-15,2020-07-10,217728.923,58158.938
CAT,2005-07-15,2020-07-10,4003599.328,1610005.767
CATB,2015-06-25,2020-07-10,10026.247,5327.589
CATC,2008-04-14,2020-07-10,3256.036,2313.956
CATM,2007-12-11,2020-07-10,91578.8,14648.412
CATO,2005-07-15,2020-07-10,26926.762,13741.551
CATY,2005-07-15,2020-07-10,85537.886,50531.731
CB,2005-07-15,2020-07-10,1239262.844,511379.471
CBAN,2005-07-15,2020-07-10,532.137,850.132
CBAY,2014-06-20,2020-07-10,40593.667,9148.98
CBB,2005-07-15,2020-07-10,55222.157,47275.883
CBFV,2013-03-07,2020-07-10,1202.775,60.632
CBIO,2006-04-12,2020-07-10,20722.845,2709.428
CBL,2005-07-15,2020-07-10,123992.203,43679.881
CBLI,2006-07-21,2020-07-10,6790.392,9539.378
CBMG,2013-03-06,2020-07-10,7331.106,141.676
CBOE,2010-06-15,2020-07-10,411770.395,135903.012
CBRE,2005-07-15,2020-07-10,647020.531,271497.883
CBRL,2005-07-15,2020-07-10,211354.96,168841.891
CBSH,2005-07-15,2020-07-10,135645.942,32913.919
CBT,2005-07-15,2020-07-10,119223.894,87646.789
CBTX,2017-11-08,2020-07-10,15554.58,24057.777
CBU,2005-07-15,2020-07-10,51216.581,14150.502
CBZ,2005-07-15,2020-07-10,23363.951,15957.773
CC,2015-06-19,2020-07-10,502581.365,218790.408
CCBG,2005-07-15,2020-07-10,4229.428,4006.863
CCF,2005-07-15,2020-07-10,6198.516,251.88
CCI,2005-07-15,2020-07-10,1123744.272,252109.652
CCK,2005-07-15,2020-07-10,435784.279,218355.91
CCL,2005-07-15,2020-07-10,1591275.018,981138.174
CCMP,2005-07-15,2020-07-10,80257.469,71968.848
CCNE,2005-07-15,2020-07-10,2624.142,236.999
CCO,2005-11-11,2020-07-10,13388.743,15389.442
CCOI,2005-07-15,2020-07-10,80694.755,8416.166
CCRN,2005-07-15,2020-07-10,20968.891,18829.71
CCS,2014-06-18,2020-07-10,53898.557,25839.195
CCXI,2012-02-08,2020-07-10,41155.664,4093.895
CDAY,2018-04-26,2020-07-10,457998.981,238088.467
CDE,2005-07-18,2020-07-10,330118.529,251684.328
CDEV,2016-04-15,2020-07-10,261843.711,88598.523
CDK,2014-09-22,2020-07-10,432022.921,604026.101
CDLX,2018-02-09,2020-07-10,144023.243,33652.066
CDMO,2017-07-10,2020-07-10,16823.655,9999.417
CDNA,2014-07-17,2020-07-10,64534.677,2748.899
CDNS,2005-07-15,2020-07-10,523007.99,273780.027
CDR,2005-07-15,2020-07-10,15564.058,13974.681
CDTX,2015-04-15,2020-07-10,7677.354,13808.462
CDW,2013-06-27,2020-07-10,469158.355,81836.897
CDXC,2008-07-16,2020-07-10,6691.678,0.0
CDXS,2010-04-22,2020-07-10,17355.008,12890.821
CDZI,2005-07-15,2020-07-10,7853.471,2123.823
CE,2005-07-15,2020-07-10,528912.276,67937.946
CECE,2005-07-15,2020-07-10,7674.364,2063.143
CEI,2015-07-15,2020-07-10,13406.55,0.0
CEIX,2017-11-14,2020-07-10,88796.464,159379.1
CELC,2017-09-20,2020-07-10,2774.987,5089.627
CELH,2009-12-28,2020-07-10,3111.15,0.0
CEMI,2012-06-07,2020-07-10,9071.333,1314.604
CENT,2005-07-15,2020-07-10,30296.226,94172.918
CENTA,2007-02-06,2020-07-10,35509.865,48765.707
CENX,2005-07-15,2020-07-10,258161.234,131386.592
CERC,2015-11-13,2020-07-10,5136.172,1231.283
CERN,2005-07-15,2020-07-10,819720.154,336762.324
CERS,2005-07-15,2020-07-10,31163.38,21206.67
CETV,2005-07-15,2020-07-10,71926.159,105283.275
CETX,2015-06-25,2020-07-10,16459.671,2661.04
CEVA,2005-07-15,2020-07-10,27225.479,3939.969
CF,2005-08-11,2020-07-10,1363280.57,92475.228
CFBK,2018-08-22,2020-07-10,739.029,608.13
CFFI,2005-07-15,2020-07-10,1832.801,220.03
CFFN,2005-07-15,2020-07-10,42019.778,5394.579
CFG,2014-09-24,2020-07-10,1297917.671,639937.315
CFMS,2015-07-01,2020-07-10,24176.523,65992.675
CFR,2005-07-15,2020-07-10,219511.688,53721.058
CFX,2008-05-08,2020-07-10,236139.322,100415.541
CGIX,2013-08-14,2020-07-10,8069.571,25098.228
CGNX,2005-07-15,2020-07-10,212587.35,58302.189
CHAP,2017-05-19,2020-07-10,10449.547,6624.222
CHCI,2005-07-15,2020-07-10,3938.539,27701.708
CHCO,2005-07-15,2020-07-10,18978.149,8965.836
CHCT,2015-05-21,2020-07-10,25763.149,9531.726
CHD,2005-07-15,2020-07-10,444769.605,79992.641
CHDN,2005-07-15,2020-07-10,69514.82,7161.182
CHE,2005-07-15,2020-07-10,148970.729,78894.084
CHEF,2011-07-28,2020-07-10,36350.389,23063.504
CHGG,2013-11-13,2020-07-10,255877.955,54904.562
CHH,2005-07-15,2020-07-10,94953.336,63221.527
CHMA,2015-07-16,2020-07-10,14490.771,38627.609
CHMG,2012-11-16,2020-07-10,1897.084,1387.24
CHMI,2013-10-04,2020-07-10,12297.492,8072.314
CHRS,2014-11-06,2020-07-10,101470.915,58383.981
CHRW,2005-07-15,2020-07-10,758493.559,271113.342
CHS,2005-07-15,2020-07-10,287430.7,597531.115
CHTR,2010-09-14,2020-07-10,2432704.515,86073.144
CHUY,2012-07-24,2020-07-10,49796.25,45690.206
CI,2005-07-18,2020-07-10,1720012.126,1110261.14
CIA,2005-07-15,2020-07-10,5916.239,2746.343
CIDM,2005-07-15,2020-07-10,7146.0,13493.769
CIEN,2005-07-15,2020-07-10,764292.996,407074.276
CIM,2007-11-16,2020-07-10,127707.33,15933.305
CINF,2005-07-15,2020-07-10,260102.785,85366.813
CIO,2014-04-15,2020-07-10,19689.673,3906.295
CIR,2005-07-15,2020-07-10,43678.113,8259.364
CIT,2009-12-11,2020-07-10,528609.29,722171.161
CIVB,2005-07-15,2020-07-10,1961.463,302.646
CIX,2005-07-15,2020-07-10,553.371,476.805
CIZN,2005-07-15,2020-07-10,523.343,225.319
CKH,2005-07-15,2020-07-10,99871.218,111935.637
CKX,2005-07-15,2020-07-09,252.506,221.661
CL,2005-07-15,2020-07-10,1708334.281,661817.963
CLAR,2010-06-11,2020-07-10,10593.388,3474.851
CLB,2005-07-15,2020-07-10,344282.345,45224.751
CLBK,2018-04-20,2020-07-10,31293.516,46678.882
CLBS,2013-08-05,2020-07-10,7716.352,23973.213
CLCT,2005-07-15,2020-07-10,4230.745,3313.178
CLDR,2017-04-28,2020-07-10,415795.859,232281.221
CLDT,2010-04-16,2020-07-10,29158.666,6007.536
CLDX,2005-07-15,2020-07-10,106038.232,9774.634
CLF,2005-07-18,2020-07-10,1279142.187,377783.302
CLFD,2005-07-18,2020-07-10,4896.295,221.568
CLGX,2005-07-18,2020-07-10,240944.417,213938.054
CLH,2008-12-15,2020-07-10,213484.535,124267.821
CLI,2005-07-15,2020-07-10,143045.219,70838.106
CLIR,2012-04-25,2020-07-10,6771.915,2291.407
CLNC,2018-02-01,2020-07-10,55206.917,77672.604
CLNE,2007-05-25,2020-07-10,109715.095,71214.062
CLNY,2017-01-11,2020-07-10,228036.893,353340.71
CLPR,2017-02-10,2020-07-10,4822.31,8686.029
CLR,2007-05-15,2020-07-10,888959.331,80632.549
CLRB,2014-08-15,2020-07-10,7054.611,455.533
CLRO,2005-07-15,2020-07-10,1020.462,626.587
CLSN,2005-07-15,2020-07-10,17084.513,923.082
CLUB,2006-06-02,2020-07-10,7969.495,15932.01
CLVS,2011-11-16,2020-07-10,445925.52,16394.405
CLW,2008-12-05,2020-07-10,52018.185,32625.39
CLX,2005-07-15,2020-07-10,796571.394,358436.053
CLXT,2017-07-20,2020-07-10,9605.611,14204.838
CMA,2005-07-15,2020-07-10,754193.313,343160.801
CMC,2005-07-15,2020-07-10,217201.43,162210.646
CMCO,2005-07-15,2020-07-10,26168.461,42075.954
CMCSA,2005-07-15,2020-07-10,4807086.325,1987170.99
CMCT,2014-03-13,2020-07-10,1353.409,637.749
CMD,2005-07-15,2020-07-10,62753.627,15506.814
CME,2005-07-15,2020-07-10,1533704.842,1536981.137
CMG,2006-01-26,2020-07-10,2045941.845,317099.31
CMI,2005-07-15,2020-07-10,1506875.459,460837.125
CMO,2005-07-15,2020-07-10,43361.07,2387.755
CMP,2005-07-15,2020-07-10,151933.529,23089.848
CMRX,2013-04-11,2020-07-10,59497.787,22367.842
CMS,2005-07-15,2020-07-10,516914.085,159936.332
CMT,2005-07-15,2020-07-10,3245.135,8081.44
CMTL,2005-07-15,2020-07-10,58245.405,123489.344
CNA,2005-07-15,2020-07-10,54424.906,51013.434
CNBKA,2005-07-15,2020-07-10,1935.008,1136.565
CNC,2005-07-15,2020-07-10,714003.873,182733.172
CNCE,2014-02-13,2020-07-10,27604.105,20953.46
CNDT,2016-12-13,2020-07-10,270027.136,380125.388
CNFR,2015-08-13,2020-07-10,904.9,2684.264
CNK,2007-04-24,2020-07-10,196894.816,45399.966
CNMD,2005-07-15,2020-07-10,61928.835,48093.002
CNNE,2014-06-23,2020-07-10,72112.573,106342.907
CNO,2005-07-15,2020-07-10,181560.323,164562.086
CNOB,2005-07-15,2020-07-10,9235.356,1559.236
CNP,2005-07-15,2020-07-10,576764.447,117132.079
CNR,2010-03-08,2020-07-10,44576.058,33604.987
CNS,2005-07-15,2020-07-10,34562.997,3500.06
CNSL,2005-07-22,2020-07-10,30606.401,8571.595
CNTY,2005-07-15,2020-07-10,5710.448,3983.822
CNX,2005-07-15,2020-07-10,1028313.497,827806.97
CNXN,2005-07-18,2020-07-10,10380.438,1240.464
CODA,2008-01-03,2020-07-10,2043.154,5.915
COF,2005-07-15,2020-07-10,2094472.931,1449203.039
COG,2005-07-15,2020-07-10,1052184.534,212757.949
COHN,2006-10-09,2020-07-10,4286.128,25347.783
COHR,2005-07-15,2020-07-10,182243.695,60168.256
COHU,2005-07-15,2020-07-10,20478.74,39786.793
COKE,2005-07-15,2020-07-10,31807.354,3597.858
COLB,2005-07-15,2020-07-10,47313.992,10321.099
COLD,2018-01-19,2020-07-10,448576.651,188539.486
COLL,2015-05-07,2020-07-10,59452.15,29797.5
COLM,2005-07-15,2020-07-10,110404.615,80309.13
COMM,2013-10-25,2020-07-10,433087.255,180962.796
CONE,2013-01-18,2020-07-10,335808.673,57471.001
CONN,2005-07-15,2020-07-10,121705.732,55270.603
COO,2005-07-15,2020-07-10,477397.194,445970.56
COOP,2015-09-28,2020-07-10,38774.142,9281.3
COP,2005-07-15,2020-07-10,3943776.56,3280787.413
COR,2010-09-23,2020-07-10,150795.866,32243.469
CORE,2005-07-15,2020-07-10,43774.386,9142.859
CORR,2012-12-03,2020-07-10,19819.965,7042.199
CORT,2005-07-15,2020-07-10,42173.297,1910.063
COST,2005-07-15,2020-07-10,2479580.439,925755.823
COTY,2013-06-13,2020-07-10,592947.822,176641.913
COUP,2016-10-07,2020-07-10,884534.66,127272.874
COWN,2006-07-13,2020-07-10,25966.023,33641.076
CPB,2005-07-15,2020-07-10,653069.845,188228.672
CPE,2005-07-15,2020-07-10,190322.878,25604.518
CPF,2005-07-15,2020-07-10,27405.771,23718.297
CPHC,2008-08-26,2020-07-10,344.742,202.28
CPIX,2009-08-12,2020-07-10,2441.715,7940.148
CPK,2005-07-15,2020-07-10,17450.588,1875.992
CPLG,2018-05-31,2020-07-10,48865.966,81608.522
CPRI,2011-12-15,2020-07-10,1584209.174,1173619.929
CPRT,2005-07-15,2020-07-10,327386.844,100781.439
CPRX,2006-11-08,2020-07-10,20626.655,2070.997
CPS,2013-10-17,2020-07-10,75500.84,23128.499
CPSH,2011-02-23,2020-07-10,643.294,23.353
CPSI,2005-07-15,2020-07-10,31669.992,26968.636
CPSS,2005-07-15,2020-07-10,3437.304,1957.613
CPST,2005-07-15,2020-07-10,38968.234,202720.2
CPT,2005-07-15,2020-07-10,294906.42,91896.623
CR,2005-07-15,2020-07-10,133926.818,65901.164
CRAI,2005-07-15,2020-07-10,19395.29,54729.247
CRBP,2014-10-27,2020-07-10,44796.037,1476.631
CRC,2014-11-13,2020-07-10,336457.205,469211.11
CREE,2005-07-15,2020-07-10,715459.247,296424.294
CRI,2005-07-15,2020-07-10,348677.567,134975.165
CRIS,2005-07-15,2020-07-10,12099.269,8189.363
CRK,2005-07-15,2020-07-10,176802.248,166060.004
CRL,2005-07-15,2020-07-10,293585.044,239726.612
CRM,2005-07-15,2020-07-10,3090306.222,450497.384
CRMD,2010-05-13,2020-07-10,10884.176,230.801
CRMT,2005-07-15,2020-07-10,23112.463,15380.872
CRNX,2018-07-18,2020-07-10,18583.538,23533.604
CROX,2006-02-08,2020-07-10,444028.354,276285.814
CRS,2005-07-15,2020-07-10,194181.268,160245.736
CRTX,2019-05-09,2020-07-10,47191.264,40163.038
CRUS,2005-07-15,2020-07-10,366875.507,54002.516
CRVL,2005-07-15,2020-07-10,17471.004,5871.791
CRVS,2016-03-23,2020-07-10,12369.466,6900.478
CRWS,2007-03-19,2020-07-10,837.637,567.105
CRY,2005-07-15,2020-07-10,18717.995,9635.652
CSCO,2005-07-15,2020-07-10,7951268.509,7562382.576
CSGP,2005-07-15,2020-07-10,284343.559,50452.077
CSGS,2005-07-15,2020-07-10,58875.053,84368.575
CSII,2009-02-26,2020-07-10,50222.159,3845.448
CSL,2005-07-15,2020-07-10,220440.876,68467.798
CSLT,2014-03-14,2020-07-10,31486.323,116648.04
CSOD,2011-03-17,2020-07-10,186125.873,33087.955
CSPI,2005-07-15,2020-07-10,591.018,847.579
CSTR,2016-09-22,2020-07-10,5365.501,6245.526
CSU,2005-07-15,2020-07-10,21547.042,6635.712
CSV,2005-07-15,2020-07-10,10837.639,1210.891
CSWI,2015-09-30,2020-07-10,23106.465,21273.233
CSX,2015-12-22,2020-07-10,2892131.873,1769666.417
CTAS,2005-07-15,2020-07-10,444616.48,287069.217
CTB,2005-07-15,2020-07-10,164716.692,67791.08
CTBI,2005-07-15,2020-07-10,9729.151,3797.922
CTG,2005-07-15,2020-07-10,4023.492,678.18
CTHR,2005-07-15,2020-07-10,4646.105,57009.673
CTIB,2005-07-15,2020-07-10,2515.741,13077.687
CTIC,2005-07-15,2020-07-10,41034.82,11972.939
CTL,2005-07-15,2020-07-10,829396.937,112700.753
CTLT,2014-07-31,2020-07-10,302126.27,161598.281
CTMX,2015-10-08,2020-07-10,41137.29,11182.444
CTO,2005-07-15,2020-07-10,6363.501,12541.087
CTRA,2016-08-19,2020-07-10,29139.941,31554.511
CTRE,2014-05-23,2020-07-10,79114.851,15518.456
CTRN,2005-07-15,2020-07-10,31250.299,46052.056
CTS,2005-07-15,2020-07-10,17021.723,14363.27
CTSH,2005-07-15,2020-07-10,1743316.497,614890.743
CTSO,2010-05-07,2020-07-10,8417.122,687.419
CTT,2013-12-12,2020-07-10,16582.368,14744.396
CTVA,2019-05-24,2020-07-10,1322236.283,1448705.695
CTXS,2005-07-15,2020-07-10,1264113.163,504928.972
CUB,2005-07-15,2020-07-10,56550.845,19166.414
CUBE,2011-09-19,2020-07-10,273778.352,85745.933
CUBI,2013-05-16,2020-07-10,37421.338,23765.544
CUE,2018-01-02,2020-07-10,18742.053,10651.522
CULP,2005-07-15,2020-07-10,5200.84,372.841
CURO,2017-12-07,2020-07-10,36257.885,44058.085
CUTR,2005-07-15,2020-07-10,30485.006,136797.973
CUZ,2005-07-15,2020-07-10,152959.209,31607.312
CVA,2005-07-15,2020-07-10,120596.144,39243.472
CVBF,2005-07-15,2020-07-10,59423.708,10249.415
CVCO,2005-07-15,2020-07-10,29872.33,12951.244
CVCY,2005-07-15,2020-07-10,1890.382,539.262
CVET,2019-02-05,2020-07-10,287872.196,378963.717
CVGI,2005-07-15,2020-07-10,15646.384,21994.738
CVGW,2005-07-18,2020-07-10,39121.469,599.377
CVI,2007-10-23,2020-07-10,109448.506,60740.668
CVLT,2006-09-22,2020-07-10,196590.82,60498.038
CVLY,2005-07-15,2020-07-10,1048.331,170.331
CVM,2005-07-15,2020-07-10,14201.084,1563.5
CVNA,2017-04-28,2020-07-10,729145.613,112777.03
CVR,2005-07-15,2020-07-10,547.901,225.461
CVS,2005-07-15,2020-07-10,3394661.824,972918.72
CVU,2005-07-15,2020-07-10,2249.388,1255.61
CVV,2007-09-20,2020-07-10,3076.299,408.546
CVX,2005-07-15,2020-07-10,5511571.487,2871610.687
CW,2005-07-15,2020-07-10,128993.169,47244.396
CWBC,2005-07-19,2020-07-08,380.013,512.57
CWBR,2017-12-15,2020-07-10,3688.494,7750.251
CWH,2016-10-07,2020-07-10,177950.447,95961.37
CWST,2005-07-15,2020-07-10,23762.312,9508.549
CWT,2005-07-15,2020-07-10,48670.724,11195.809
CXO,2007-08-03,2020-07-10,1097908.232,68200.233
CXP,2013-10-10,2020-07-10,119149.167,159909.027
CXW,2005-07-15,2020-07-10,143766.6,41480.466
CYAN,2005-07-15,2020-07-10,584.271,377.164
CYBE,2005-07-15,2020-07-10,5655.711,3806.825
CYCC,2006-03-27,2020-07-10,9785.387,273.981
CYCN,2019-03-18,2020-07-10,16903.659,17720.143
CYH,2005-07-15,2020-07-10,402198.897,267889.852
CYRX,2010-02-08,2020-07-10,14052.329,110.009
CYTK,2005-07-18,2020-07-10,26930.512,9298.303
CZNC,2005-07-15,2020-07-10,2273.377,885.824
CZR,2012-02-08,2020-07-10,581427.033,47644.198
CZWI,2005-07-15,2020-07-10,780.484,1207.796
D,2005-07-15,2020-07-10,1217780.514,626913.84
DAIO,2005-07-15,2020-07-10,2065.333,1486.478
DAKT,2005-07-15,2020-07-10,27376.92,15960.493
DAL,2007-04-26,2020-07-10,2646949.567,618190.281
DAN,2008-02-01,2020-07-10,266323.053,44259.566
DAR,2005-07-15,2020-07-10,147173.42,6463.941
DARE,2017-07-20,2020-07-10,7138.567,3360.824
DBD,2005-07-15,2020-07-10,154333.005,178328.451
DBI,2005-07-15,2020-07-10,205685.901,42766.619
DBX,2018-03-23,2020-07-10,1005648.183,1350064.071
DCI,2005-07-15,2020-07-10,152501.725,56845.382
DCO,2005-07-15,2020-07-10,15521.027,4280.58
DCOM,2005-07-15,2020-07-10,16715.06,10177.324
DCPH,2017-09-28,2020-07-10,116775.086,53099.3
DD,2017-09-01,2020-07-10,4170304.361,4884870.26
DDD,2011-05-26,2020-07-10,735312.654,86079.646
DDS,2005-07-15,2020-07-10,327478.196,153430.265
DE,2005-07-15,2020-07-10,2299637.043,890514.689
DEA,2015-02-06,2020-07-10,67900.445,18010.28
DECK,2005-07-15,2020-07-10,587912.442,116084.365
DEI,2006-10-25,2020-07-10,216339.092,150531.168
DELL,2018-12-21,2020-07-10,1151197.582,1232547.191
DENN,2005-07-15,2020-07-10,38127.299,36070.391
DFIN,2016-09-26,2020-07-10,41417.866,68212.376
DFS,2007-06-14,2020-07-10,1194071.406,809520.592
DG,2009-11-13,2020-07-10,1763951.3,244385.14
DGICA,2005-07-15,2020-07-10,2970.859,3384.583
DGII,2005-07-15,2020-07-10,12218.097,17596.712
DGLY,2007-07-23,2020-07-10,23738.81,3336.056
DGX,2005-07-15,2020-07-10,707857.359,371059.567
DHI,2005-07-15,2020-07-10,1139557.083,764799.082
DHIL,2005-07-15,2020-07-10,6185.052,369.789
DHR,2005-07-15,2020-07-10,1877311.571,672008.908
DHX,2007-07-18,2020-07-10,23259.548,31698.951
DIN,2008-06-02,2020-07-10,111231.371,44853.341
DIOD,2005-07-15,2020-07-10,82327.668,90266.501
DIS,2005-07-15,2020-07-10,5306668.697,1835859.456
DISCA,2005-07-15,2020-07-10,775619.957,306679.289
DISCK,2008-09-18,2020-07-10,412644.008,87221.4
DISH,2005-07-18,2020-07-10,826421.22,387333.842
DIT,2005-07-18,2020-07-10,4011.65,191.536
DJCO,2005-07-15,2020-07-10,2149.187,482.683
DKS,2005-07-15,2020-07-10,571644.578,207956.349
DLA,2005-07-15,2020-07-10,2818.032,1482.554
DLB,2005-07-15,2020-07-10,179758.619,37330.678
DLHC,2012-06-27,2020-07-10,665.58,85.176
DLPH,2017-11-21,2020-07-10,326033.471,517484.304
DLR,2005-07-15,2020-07-10,683162.809,23250.742
DLTH,2015-11-20,2020-07-10,45217.6,38905.887
DLTR,2005-07-15,2020-07-10,1249439.128,247089.215
DLX,2005-07-15,2020-07-10,105013.398,64559.694
DMRC,2008-10-17,2020-07-10,14635.647,3465.621
DNKN,2011-07-27,2020-07-10,483098.887,306417.609
DNLI,2017-12-08,2020-07-10,73652.503,58321.043
DNOW,2014-05-20,2020-07-10,211991.859,575599.376
DNR,2005-07-15,2020-07-10,529206.96,218986.163
DOC,2013-07-19,2020-07-10,165873.631,10260.107
DOCU,2018-04-27,2020-07-10,1661694.69,906502.945
DOMO,2018-06-29,2020-07-10,146348.609,134525.111
DOOR,2013-09-09,2020-07-10,112157.52,86489.176
DORM,2006-05-26,2020-07-10,61813.967,1023.554
DOV,2005-07-15,2020-07-10,682417.562,238953.712
DOW,2019-03-20,2020-07-10,2043897.857,2086271.66
DPZ,2005-07-15,2020-07-10,550872.506,43600.793
DRAD,2005-07-15,2020-07-10,1951.558,1945.795
DRE,2005-07-15,2020-07-10,354448.579,103646.519
DRH,2005-07-15,2020-07-10,138903.166,12523.353
DRI,2005-07-15,2020-07-10,771475.054,269541.133
DRNA,2014-01-30,2020-07-10,43551.848,44293.596
DRQ,2005-07-15,2020-07-10,237012.667,126647.629
DRRX,2005-07-15,2020-07-10,11071.586,23842.855
DS,2014-10-23,2020-07-10,20308.351,40264.485
DSKE,2017-02-28,2020-07-10,18929.503,20457.918
DSPG,2005-07-15,2020-07-10,15981.401,49414.656
DSS,2005-07-15,2020-07-10,4287.061,7731.859
DTE,2005-07-15,2020-07-10,523185.214,145618.8
DUK,2005-07-15,2020-07-10,1445169.555,447713.762
DVA,2005-07-15,2020-07-10,713024.32,281049.163
DVAX,2005-07-15,2020-07-10,78720.247,3674.483
DVD,2005-07-15,2020-07-10,684.156,1764.027
DVN,2005-07-15,2020-07-10,2202959.974,1761303.727
DWCF,2013-02-11,2020-07-10,0.0,0.0
DWSN,2007-11-06,2020-07-10,4233.892,3420.87
DX,2005-07-15,2020-07-10,12508.918,159.788
DXC,2017-03-16,2020-07-10,1233509.639,1286084.319
DXCM,2005-07-15,2020-07-10,450309.884,24225.748
DXLG,2005-07-15,2020-07-10,14088.02,18797.102
DXPE,2005-07-15,2020-07-10,42259.04,50379.737
DXYN,2005-07-15,2020-07-10,2724.216,7302.537
DY,2005-07-15,2020-07-10,172358.151,108947.863
DYAI,2008-01-16,2020-07-10,1753.816,103.439
DZSI,2010-03-12,2020-07-10,5000.274,1768.965
EA,2005-07-15,2020-07-10,1952895.868,1866076.403
EAF,2018-04-19,2020-07-10,175986.114,206876.247
EARN,2013-05-01,2020-07-10,5921.92,8023.659
EAT,2005-07-15,2020-07-10,353105.714,201935.475
EB,2018-09-20,2020-07-10,146426.829,157960.461
EBAY,2005-07-15,2020-07-10,4099871.824,5851251.135
EBF,2005-07-15,2020-07-10,12573.244,9665.224
EBIX,2005-07-15,2020-07-10,79179.654,1345.369
EBMT,2010-04-05,2020-07-10,961.813,792.404
EBS,2006-11-15,2020-07-10,83217.477,13767.857
EBSB,2008-01-23,2020-07-10,13777.096,3988.423
EBTC,2005-07-19,2020-07-10,1523.421,309.778
ECHO,2009-10-05,2020-07-10,45465.045,11998.225
ECL,2005-07-15,2020-07-10,947821.164,196663.805
ECOL,2005-07-15,2020-07-10,30819.655,17915.264
ECOM,2013-05-23,2020-07-10,37780.445,88232.851
ECPG,2005-07-15,2020-07-10,55601.237,25320.143
ED,2005-07-15,2020-07-10,783119.231,233097.779
EDIT,2016-02-04,2020-07-10,189496.627,64560.716
EDUC,2005-07-18,2020-07-10,750.746,121.625
EE,2005-07-15,2020-07-10,72026.667,44652.15
EEFT,2005-07-15,2020-07-10,178349.675,120930.359
EEX,2017-04-28,2020-07-10,23860.726,37379.485
EFC,2010-10-08,2020-07-10,18135.66,5589.228
EFOI,2008-01-03,2020-07-10,5250.133,0.0
EFSC,2005-07-15,2020-07-10,13122.376,1911.897
EFX,2005-07-15,2020-07-10,531724.752,208635.941
EGAN,2011-10-13,2020-07-10,9916.456,2938.188
EGBN,2005-07-15,2020-07-10,30057.824,990.726
EGHT,2005-07-15,2020-07-10,68661.229,25569.188
EGLE,2005-07-15,2020-07-10,55140.989,32365.766
EGOV,2005-07-15,2020-07-10,34522.631,5222.041
EGP,2005-07-15,2020-07-10,85229.515,20191.128
EGRX,2014-02-12,2020-07-10,128029.43,14990.937
EGY,2005-07-15,2020-07-10,28909.638,33183.998
EHC,2006-10-26,2020-07-10,205982.131,99057.535
EHTH,2006-10-13,2020-07-10,90319.036,41732.514
EIDX,2018-06-20,2020-07-10,40399.198,24487.928
EIG,2007-01-31,2020-07-10,36204.211,83913.008
EIGI,2013-10-25,2020-07-10,58532.33,62276.091
EIGR,2014-01-30,2020-07-10,20936.255,17076.776
EIX,2005-07-15,2020-07-10,836356.032,380638.738
EKSO,2015-12-28,2020-07-10,24512.522,4653.189
EL,2005-07-15,2020-07-10,1179518.5,398683.1
ELAN,2018-09-20,2020-07-10,1195015.236,1375445.578
ELF,2016-09-22,2020-07-10,105409.014,152674.249
ELGX,2005-07-15,2020-07-10,39058.881,8142.026
ELMD,2010-08-13,2020-07-10,2361.112,333.013
ELOX,2016-02-26,2020-07-10,5002.075,18.299
ELS,2005-07-15,2020-07-10,156188.306,18454.234
ELSE,2005-07-15,2020-07-10,502.302,4784.406
ELVT,2017-04-06,2020-07-10,11138.204,14808.002
ELY,2005-07-15,2020-07-10,90651.325,60329.723
EMAN,2005-07-15,2020-07-10,3233.131,1614.387
EMCF,2009-11-10,2020-07-09,329.587,92.94
EME,2005-07-15,2020-07-10,157398.701,89892.491
EMKR,2005-07-15,2020-07-10,24618.215,33715.975
